Thành phố,Số ca chết,Số ca đang điều trị,Số ca nhiễm,Số ca phục hồi,Số ca nhiễm trong ngày
Hà Nội,1231,0,1634743,0,0
TP. Hồ Chí Minh,19984,0,624250,0,1
Hải Phòng,138,0,533384,0,2
Nghệ An,145,0,499681,0,0
Bắc Giang,91,0,390341,0,0
Vĩnh Phúc,19,0,373041,0,0
Hải Dương,116,0,369368,0,0
Quảng Ninh,150,0,353283,0,0
Bắc Ninh,136,0,351134,0,0
Thái Nguyên,112,0,342928,0,0
Phú Thọ,97,0,328265,0,0
Bình Dương,3518,0,323997,0,0
Nam Định,149,0,299474,0,0
Thái Bình,23,0,296542,0,0
Hưng Yên,5,0,242399,0,0
Hòa Bình,102,0,238884,0,0
Lào Cai,38,0,187878,0,0
Thanh Hóa,109,0,174802,0,0
Đắk Lắk,201,0,172439,0,0
Lạng Sơn,84,0,160218,0,0
Yên Bái,13,0,154862,0,0
Sơn La,0,0,153092,0,0
Cà Mau,357,0,147347,0,0
Tuyên Quang,14,0,146171,0,0
Tây Ninh,941,0,139588,0,0
Bình Định,281,0,139264,0,0
Quảng Bình,74,0,128708,0,0
Hà Giang,80,0,122610,0,0
Khánh Hòa,364,0,120999,0,0
Bình Phước,224,0,119694,0,0
Bà Rịa – Vũng Tàu,497,0,109588,0,0
Đồng Nai,1901,0,107518,0,0
Đà Nẵng,337,0,106258,0,0
Ninh Bình,93,0,103557,0,1
Vĩnh Long,829,0,102537,0,0
Bến Tre,487,0,98951,0,0
Cao Bằng,59,0,98171,0,0
Lâm Đồng,141,0,96521,0,0
Điện Biên,23,0,90323,0,0
Hà Nam,65,0,89127,0,0
Quảng Trị,38,0,85692,0,0
Cần Thơ,958,0,76570,0,0
Bắc Kạn,19,0,76226,0,0
Lai Châu,0,0,75265,0,0
Trà Vinh,115,0,74986,0,0
Đắk Nông,47,0,73427,0,0
Gia Lai,116,0,70836,0,0
Hà Tĩnh,50,0,54585,0,0
Bình Thuận,482,0,53913,0,0
Đồng Tháp,1007,0,51431,0,0
Quảng Ngãi,127,0,50009,0,0
Long An,1088,0,49853,0,0
Quảng Nam,150,0,49345,0,0
Thừa Thiên Huế,173,0,47686,0,0
Bạc Liêu,470,0,46703,0,0
Phú Yên,137,0,43852,0,0
An Giang,1325,0,43001,0,0
Kiên Giang,1027,0,42512,0,0
Tiền Giang,1290,0,38310,0,0
Sóc Trăng,633,0,34407,0,0
Kon Tum,1,0,26286,0,0
Hậu Giang,231,0,17667,0,0
Ninh Thuận,60,0,8764,0,0
