Thành phố,Diện tích,Dân số
An Giang,3536.7,1864651
Bà Rịa - Vũng Tàu,1980.8,1181302
Bạc Liêu,2669,917734
Bắc Giang,3851.4,1858540
Bắc Kạn,4860,318083
Bắc Ninh,822.7,1450518
Bến Tre,2394.6,1295067
Bình Dương,2694.7,2678220
Bình Định,6066.2,1487009
Bình Phước,6877,1020839
Bình Thuận,7812.8,1243977
Cà Mau,5294.8,1191999
Cao Bằng,6700.3,535098
Cần Thơ,1439.2,1244736
Đà Nẵng,1284.9,1191381
Đắk Lắk,13030.5,1897710
Đắk Nông,6509.3,652766
Điện Biên,9541,623295
Đồng Nai,5905.7,3236248
Đồng Tháp,3383.8,1586438
Gia Lai,15510.8,1566882
Hà Giang,7929.5,883388
Hà Nam,860.9,867258
Hà Nội,3358.9,8418883
Hà Tĩnh,5990.7,1301601
Hải Dương,1668.2,1932090
Hải Phòng,1561.8,2069110
Hậu Giang,1621.8,728255
Hòa Bình,4591,868623
Thành phố Hồ Chí Minh,2061,9411805
Hưng Yên,930.2,1279308
Khánh Hòa,5137.8,1246358
Kiên Giang,6348.8,1730117
Kon Tum,9674.2,565685
Lai Châu,9068.8,480588
Lạng Sơn,8310.2,791872
Lào Cai,6364,756083
Lâm Đồng,9783.2,1319952
Long An,4490.2,1744138
Nam Định,1668,1771000
Nghệ An,16493.7,3417809
Ninh Bình,1387,1000093
Ninh Thuận,3355.3,595698
Phú Thọ,3534.6,1495116
Phú Yên,5023.4,875127
Quảng Bình,8065.3,905895
Quảng Nam,10574.7,1510960
Quảng Ngãi,5135.2,1234704
Quảng Ninh,6177.7,1358490
Quảng Trị,4739.8,639414
Sóc Trăng,3311.8,1181835
Sơn La,14123.5,1286068
Tây Ninh,4041.4,1190852
Thái Bình,1570.5,1876579
Thái Nguyên,3536.4,1322235
Thanh Hóa,11114.7,3690022
Thừa Thiên Huế,5048.2,1137045
Tiền Giang,2510.5,1783165
Trà Vinh,2358.2,1010404
Tuyên Quang,5867.9,797392
Vĩnh Long,1475,1022408
Vĩnh Phúc,1235.2,1184074
Yên Bái,6887.7,838181
